ID,QUESTION,CLASS,ANSWER,Answerfirstsent,AnswerAdjectives,AnswerNouns,AnswerEntities,QuestionsAdjectives,QuestionsNouns,QuestionsEntities
345,Can I drink milk?,informationanddefinition,"The Low Carb Program looks to stay away from milk as it contains lactose (a type of sugar). If you can’t give up milk completely, go for a full fat whole milk. For more information on milk feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/",the low carb program looks to stay away from milk as it contains lactose (a type of sugar).,['low'],"['carb', 'program', 'milk', 'lactose', 'type', 'sugar']","['program', 'milk', 'lactose', 'type', 'sugar']",[],['milk'],['milk']
346,Can I drink Almond milk?,informationanddefinition,"Usually at around 0.1g per 100ml, unsweetened almond milk is an excellent milk substitute. It’s important to check labels, though, as some brands contain thickening agents like tapioca starch. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/ ","usually at around 0.1g per 100ml, unsweetened almond milk is an excellent milk substitute.","['unsweetened', 'excellent']","['g', '100ml', 'almond', 'milk', 'milk', 'substitute']",['milk substitute'],[],"['Almond', 'milk']",['Almond milk']
347,Can I swap milk for cream in coffee?,informationanddefinition,"If you’re getting sick of black coffee try swapping milk for single cream. Although it might be a strange concept at first, the cream is almost void of carbs and sugar and adds a delicious creamy taste.",if you’re getting sick of black coffee try swapping milk for single cream.,"['sick', 'black', 'single']","['coffee', 'try', 'milk', 'cream']","['coffee', 'cream', 'milk']",[],"['milk', 'cream', 'coffee']","['milk', 'cream', 'coffee']"
348,Can I drink hemp milk?,informationanddefinition,"Usually at around 0.1g per 100ml, unsweetened hemp milk is an excellent milk substitute. However, it is advisable to check the labels as sugars or starches may have been added. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/","usually at around 0.1g per 100ml, unsweetened hemp milk is an excellent milk substitute.","['unsweetened', 'excellent']","['g', '100ml', 'hemp', 'milk', 'milk', 'substitute']",['milk substitute'],[],"['hemp', 'milk']",['hemp milk']
349,Can I drink rice milk?,informationanddefinition,"Generally, the Low Carb Program looks to stay away from rice milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/ ","generally, the low carb program looks to stay away from rice milk as it can be quite high in carbs.","['low', 'high']","['carb', 'program', 'rice', 'milk', 'carbs']","['program', 'rice milk', 'carbs']",[],"['rice', 'milk']",['rice milk']
350,Can I drink oat milk?,informationanddefinition,"Generally, the Low Carb Program looks to stay away from oat milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/","generally, the low carb program looks to stay away from oat milk as it can be quite high in carbs.","['low', 'high']","['carb', 'program', 'oat', 'milk', 'carbs']","['program', 'oat milk', 'carbs']",[],"['oat', 'milk']",['oat milk']
351,Can I drink cashew milk?,informationanddefinition,"Generally, the Low Carb Program looks to stay away from cashew milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/","generally, the low carb program looks to stay away from cashew milk as it can be quite high in carbs.","['low', 'high']","['carb', 'program', 'cashew', 'milk', 'carbs']","['program', 'milk', 'carbs']",[],"['cashew', 'milk']",['cashew milk']
352,Can I drink coconut milk?,informationanddefinition,"Generally, the Low Carb Program looks to stay away from coconut milk as it can be quite high in carbs. For more information on milk substitutes feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/if-dairy-is-scary-go-nuts-for-almond-milk/","generally, the low carb program looks to stay away from coconut milk as it can be quite high in carbs.","['low', 'high']","['carb', 'program', 'coconut', 'milk', 'carbs']","['program', 'coconut milk', 'carbs']",[],"['coconut', 'milk']",['coconut milk']
353,Can I eat tomato soup?,informationanddefinition,"Tomato soup is often packed with sugar. Heinz’s 300g tin of Classic Tomato Soup, for example, contains four teaspoons of sugar. If you’re craving some tomato soup, you can browse through several tomato soup recipes in the Low carb cookbooks, all available for download for free from the download section of the app or online.",tomato soup is often packed with sugar.,[],"['tomato', 'soup', 'sugar']","['tomato soup', 'sugar']",[],"['tomato', 'soup']",['tomato soup']
354,Can low carb help my polycystic ovarian syndrome (PCOS)?,management,"Low-carbohydrate and ketogenic diets have been found to be effective in reducing the main symptoms of PCOS. These include lowered blood glucose/insulin and triglyceride levels, weight loss, and decreased levels of free testosterone, couple with a better LH/FSH ratio. Reduced hair growth and improved fertility are also likely through a low intake of carbs. For more info on low carb and PCOS feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/polycystic-ovarian-syndrome-pcos-and-the-low-carb-link/",low-carbohydrate and ketogenic diets have been found to be effective in reducing the main symptoms of pcos.,"['low', 'ketogenic', 'effective', 'main']","['carbohydrate', 'diets', 'symptoms', 'pcos']","['diets', 'symptoms', 'pcos']","['low', 'polycystic', 'ovarian']","['carb', 'syndrome', 'PCOS']","['carb', 'polycystic ovarian syndrome', 'PCOS']"
355,What is Polycystic ovarian syndrome(PCOS)?,informationanddefinition,"Polycystic Ovaries (or PCO for short) is a very common disorder that affects the female reproductive system. It’s defined by the presence of cysts on the ovaries, though this can be a little bit misleading. Rather than being true ‘cysts’, these are actually immature follicles, containing eggs which are not fully developed. As a result, ovulation does not occur as expected with a usual, monthly cycle – something known as anovulation. For more info on PCOS feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/polycystic-ovarian-syndrome-pcos-and-the-low-carb-link/",polycystic ovaries (or pco for short) is a very common disorder that affects the female reproductive system.,"['polycystic', 'short', 'common', 'female', 'reproductive']","['ovaries', 'pco', 'disorder', 'system']","['ovaries', 'disorder', 'pco', 'system']","['Polycystic', 'ovarian']","['syndrome', 'PCOS']","['Polycystic ovarian syndrome', 'PCOS']"
356,Can I eat canned soups?,informationanddefinition,"Canned soups are often filled with sugar and should largely be avoided. If you’re craving some tomato soup, you can browse through several tomato soup recipes in the Low carb cookbooks, all available for download for free from the download section of the app or online",canned soups are often filled with sugar and should largely be avoided.,[],"['soups', 'sugar']","['soups', 'sugar']",['canned'],['soups'],['soups']
357,Can I eat fried chicken?,informationanddefinition,"As Fried chicken is floured and battered, it is quite high in carbs. In addition to this, when brought from fast food restaurants it is usually fried in old, unhealthy oils.  ","as fried chicken is floured and battered, it is quite high in carbs.","['fried', 'high']","['chicken', 'carbs']","['fried chicken', 'carbs']",['fried'],['chicken'],['fried chicken']
358,Can I eat burgers?,informationanddefinition,"If buying a burger from a restaurant, ask for it to be served bun-less. If this isn’t an option simply take off the bun. Also, if ordering chicken make sure it isn’t breaded or battered.","if buying a burger from a restaurant, ask for it to be served bun-less.",['bun-less'],"['burger', 'restaurant']","['burger', 'restaurant']",[],['burgers'],['burgers']
359,Can I eat Jam?,informationanddefinition,Jam is essentially just a sugar spread void of many nutrients. For that reason it should be avoided. ,jam is essentially just a sugar spread void of many nutrients.,['many'],"['jam', 'sugar', 'void', 'nutrients']","['void', 'sugar', 'nutrients']",[],['Jam'],['Jam']
360,Can I eat pizza?,informationanddefinition,"Regular pizzas contain lots of carbs from their flour base and sugar from the tomato sauce. For that reason the low carb program looks to stay away from them. However, you can make your own low-carb cauliflower pizza by following this link. https://www.diabetes.co.uk/lowcarb/life/cauliflower-pizza-fridays/",regular pizzas contain lots of carbs from their flour base and sugar from the tomato sauce.,['regular'],"['pizzas', 'lots', 'carbs', 'flour', 'base', 'sugar', 'tomato', 'sauce']","['pizzas', 'lots', 'carbs', 'flour base', 'tomato sauce', 'sugar']",[],['pizza'],['pizza']
361,Can I eat popcorn?,informationanddefinition,"Although salted popcorn doesn’t have any sugar added to it, It is still very high in carbs. With that in mind it’s best not to overindulge in popcorn. However, there are a few low-er carb versions available in stores like Tesco. It’s Just a case of checking the label. ","although salted popcorn doesn’t have any sugar added to it, it is still very high in carbs.","['salted', 'high']","['popcorn', 'sugar', 'carbs']","['popcorn', 'sugar', 'carbs']",[],['popcorn'],['popcorn']
362,Can I eat at Subway?,informationanddefinition,"When going to Subway, you’re best to stay away from the actual Submarine sandwiches. Instead, try the subways salads. These are essentially subs without the bread. The lowest carbohydrate salads are the tuna salad, veggie delight salad, chicken salad and turkey salad, nearly all the options bar the meatballs and any glazed meat options are relatively low in carbs. Make sure to be aware of the sauces you use as these can contain lots of sugar. The best option is mayonnaise as it is void of sugar.","when going to subway, you’re best to stay away from the actual submarine sandwiches.","['best', 'actual']","['subway', 'submarine', 'sandwiches']","['subway', 'submarine sandwiches']",[],['Subway'],['Subway']
